Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Настройщик Битрикс24 / Аналитик Бизнес процессов / Интегратор Битрикс24 (Техподдержка),Ligr,Новосибирск,От 1 года до 3 лет,40000.0,150000.0,RUR,"Вашим преимуществом будет: Знание механики настройки Битрикс24 (именно механики!). Опыт разработки регламентов работы и/или должностных инструкций, разработка инструкций. ","Системное мышление, CRM, Бизнес-анализ, Оптимизация бизнес-процессов, Аналитическое мышление, Грамотная речь, Работа с большим объемом информации",https://hh.ru/vacancy/116532676
Старший системный аналитик (под строительное направление),Головное подразделение Сибагро,Новосибирск,От 3 до 6 лет,130000.0,195000.0,RUR,"высшее образование (математическое, инженерное в сфере IT, экономическое). - опыт работы <highlighttext>аналитиком</highlighttext>/методологом и/или руководителем проектов внедрения информационных систем на...",Системный анализ,https://hh.ru/vacancy/107960119
Переводчик-аналитик СМИ,Сайтсофт,Екатеринбург,От 1 года до 3 лет,40000.0,45000.0,RUR,Английский язык не ниже уровня Upper Intermediate (включая знание специфики письменного перевода с русского на английский). Грамотная письменная речь. ,"Английский язык, Письменный перевод",https://hh.ru/vacancy/117613139
Аналитик,Сима-ленд,Екатеринбург,Нет опыта,80000.0,100000.0,RUR,"Понимание цепочки поставки. Знание методов прогнозирования. Знание Exсel и 1С. Знание ABC- и XYZ-анализа. Высшее экономическое, математическое или...","Работа с базами данных, Аналитический склад ума, MS Excel",https://hh.ru/vacancy/117771203
Аналитик,Ирбитский молочный завод,Екатеринбург,От 3 до 6 лет,100000.0,130000.0,RUR,"Опыт работы в аналогичной должности не менее 3-х лет. Опыт работы на уровне уверенного пользователя в 1С, Битрикс...",Не указаны,https://hh.ru/vacancy/117456514
Специалист по документообороту / Аналитик,RIVAL – группа компаний,Екатеринбург,От 1 года до 3 лет,60000.0,70000.0,RUR,"Опытом работы со схожим функционалом. Знанием Word, Excel, 1C на уровне уверенного пользователя. Техническим складом ума. Активной жизненной позицией. ",Не указаны,https://hh.ru/vacancy/117570044
"Системный аналитик 1С (Junior+, Middle)",BINOM,Екатеринбург,От 1 года до 3 лет,150000.0,180000.0,RUR,"Требования к опыту и навыкам: Опыт работы <highlighttext>аналитиком</highlighttext>, консультантом от 1 года. Знание технологической платформы 1С:Предприятие (типы данных...","Системный анализ в 1С, Сбор и формализация требований, Тестирование по тест-кейсам, 1С: Предприятие, 1С: Управление Торговлей, 1С: Зарплата и управление персоналом, Системная интеграция, Честный Знак, Меркурий, ЕГАИС, Обучение пользователей 1С",https://hh.ru/vacancy/117681671
Бизнес-аналитик,Модуль,Екатеринбург,От 1 года до 3 лет,85000.0,100000.0,RUR,"Практический опыт работы с нотациями BPMN, IDEF0, VAD, EPC . Опыт работы в Business Studio. Опыт проектирования бизнес-процессов. ",Не указаны,https://hh.ru/vacancy/117519713
Системный аналитик,Selecty,Екатеринбург,От 1 года до 3 лет,240000.0,240000.0,RUR,Умение работать с большим объемом информации и структурировать его. Опыт работы: * Опыт работы системным <highlighttext>аналитиком</highlighttext> от 1 года. * ,"SQL, ORACLE, REST, SOAP, Atlassian Jira, Atlassian Confluence, Agile, MS Visio, Draw.io, TCP, HTTP, JSON, XML",https://hh.ru/vacancy/117738048
Аналитик 1С,СКМ Девелопмент,Екатеринбург,От 1 года до 3 лет,120000.0,170000.0,RUR,"Образование: высшее в области информационных технологий. Опыт в областях методологии, <highlighttext>аналитики</highlighttext>, моделировании, автоматизации бизнес-процессов в решениях на платформе 1...","1С программирование, Работа с большим объемом информации, 1С: Предприятие 8, 1С: Предприятие, 1С: Управление Производственным Предприятием, Обновление конфигурации 1С, 1С: Управление Закупками, ERP-системы на базе 1С, Разработка инструкций, Менеджер по цифровизации, Системный аналитик",https://hh.ru/vacancy/117735821
Бизнес-аналитик,Пятёрочка,Екатеринбург,От 1 года до 3 лет,89000.0,95000.0,RUR,Опыт работы с аналитической отчетностью и системой контроля целевых показателей. Планирование бюджета операционных расходов и контроль его выполнения. ,Не указаны,https://hh.ru/vacancy/117780883
Ревизор-аналитик,"МАГНИТ, Розничная сеть",Екатеринбург,От 1 года до 3 лет,70000.0,90000.0,RUR,"Знания адресной системы хранения, опыт работы с ТСД. Знание Excel, работа с таблицами (формулы, сводные). Целеустремленность, аналитический склад ума. ","Складской Учет, Учет ТМЦ, Терминалы Сбора Данных, MS Excel",https://hh.ru/vacancy/116067916
Аналитик,ЭОС,Екатеринбург,От 1 года до 3 лет,90700.0,113300.0,RUR,"Образование – высшее. Знание Oracle SQL на уровне SELECT/JOIN приветствуется (предусмотрено обучение). Знание основ работы в MS Excel (ВПР, сводные...",Не указаны,https://hh.ru/vacancy/116855380
Системный аналитик,ТФОМС Свердловской области,Екатеринбург,От 1 года до 3 лет,75000.0,115000.0,RUR,Высшее образование.  Опыт участия в разработке информационных систем.  Знание SQL.  Опыт описания бизнес-процессов.  Умение систематизировать и структурировать информацию. ,"Описание бизнес-процессов, SQL",https://hh.ru/vacancy/117013643
Аналитик/категорийный менеджер,ANA_cashmere,Екатеринбург,От 1 года до 3 лет,80000.0,120000.0,RUR,"Опыт работы с <highlighttext>аналитикой</highlighttext> продаж. Навыки работы в Excel, 1С, BI-системах (или других инструментах <highlighttext>аналитики</highlighttext>). Внимательность к деталям...","Аналитическое мышление, Системное мышление, Внимательность к деталям, Excel, 1С, BI-системах",https://hh.ru/vacancy/117076903
Экономист-аналитик (Победы 63),"Гипермаркет ДОМ, торговая сеть товаров для ремонта и дома",Екатеринбург,Нет опыта,46000.0,50000.0,RUR,"высшее экономическое образование( желательно). -аналитические способности, желание работать с цифрами, умение отслеживать движение товара, хорошая память. -умение работать с большим...",Не указаны,https://hh.ru/vacancy/117571447
BI-аналитик,Россети Урал,Екатеринбург,От 3 до 6 лет,120000.0,135000.0,RUR,Высшее образование в сфере информационных технологий. Опыт работы от 3-х лет в сфере ведения проектов по информационным технологиям и...,Не указаны,https://hh.ru/vacancy/117144274
Маркетолог-аналитик,Черкашин и партнеръ,Екатеринбург,Нет опыта,63000.0,63000.0,RUR,Высокий уровень работы в Excel. Опыт работы с 1С. Навык работы с большими объёмами данных. Ответственное отношение к работе...,"Анализ данных, Пользователь ПК, Анализ рынка, Прогнозирование, Планирование, Анализ продаж, Работа с базами данных, Работа с большим объемом информации",https://hh.ru/vacancy/111602953
Функциональный аналитик 1С,ТрансКонтейнер,Екатеринбург,От 1 года до 3 лет,200000.0,220000.0,RUR,"Желательно наличие образования в сфере бухгалтерского учета, аудита, экономики и финансов. Опыт работы в <highlighttext>аналитике</highlighttext> 1С или архитектора 1...",Не указаны,https://hh.ru/vacancy/117471752
Инженер-аналитик (Методолог),КУМЗ,Екатеринбург,От 1 года до 3 лет,65000.0,80000.0,RUR,"Общие знания по управлению реляционными БД (SQL). Общие знания методологии разработки и тестирования ПО. Способность анализировать и структурировать информацию, описывать...",SQL,https://hh.ru/vacancy/117716664
Бизнес-аналитик IT (Middle),Retail Personal,Екатеринбург,От 1 года до 3 лет,200000.0,250000.0,RUR,,"API, Бизнес-анализ, User Story, Use case, REST, Анализ рынка, Анализ конкурентной среды, Построение гипотез, Ведение бэклога, Atlassian Jira, AS IS/TO BE mapping, Системный анализ",https://hh.ru/vacancy/112183840
Начинающий аналитик 1С,Первый Бит,Екатеринбург,От 1 года до 3 лет,50000.0,150000.0,RUR,Вы готовы к интенсивному обучению и обладаете развитым логическим мышлением. Вы уверенны в своих развитых коммуникативных навыках. Имеете экономическое/бухгалтерское...,"1С: Бухгалтерия, 1С: Зарплата и кадры, 1С программирование, 1С: Предприятие, Деловая коммуникация, Аналитический склад ума",https://hh.ru/vacancy/114918182
Бизнес-аналитик 1С (junior),1-й Советник,Екатеринбург,От 1 года до 3 лет,80000.0,120000.0,RUR,"1. Понимание бизнес-процессов предприятий. 2. Знание основ бухгалтерского, управленческого, оперативного, кадрового учета и расчета заработной платы. Желательно знание производственного...","Желание развиваться, Ответственность, Коммуникабельность, 1С, Организованность",https://hh.ru/vacancy/117065392
Экономист-аналитик,"Монетка, Торговая сеть",Екатеринбург,Нет опыта,70000.0,90000.0,RUR,"Высшее/незаконченное высшее образование (в том числе последние курсы). Отличное знание офисных приложений MS Office (Excel, Power Point, Word), опыт...",Не указаны,https://hh.ru/vacancy/115773513
Системный аналитик,МЦ СКМ-Мебель,Екатеринбург,От 1 года до 3 лет,75000.0,85000.0,RUR,"Опыт работы с 1С-Битрикс: Управление сайтом, Битрикс24, Яндекс.Метрика, Roistat, Figma. Знание основ архитектуры API. Аналитический склад ума...","1С-Битрикс, Битрикс24, Яндекс.Метрика, Roistat, Figma, API",https://hh.ru/vacancy/117696494
Бизнес-аналитик,ДОБРОЦЕН,Екатеринбург,От 1 года до 3 лет,150000.0,200000.0,RUR,Высшее образование. Опыт работы в области операционного департамента в продуктовой рознице. Знание методологий оптимизации бизнес-процессов. Опыт разработки и внедрения...,Не указаны,https://hh.ru/vacancy/117324415
Экономист-аналитик,ИнСетКом,Екатеринбург,От 1 года до 3 лет,70000.0,80000.0,RUR,"Высшее техническое или экономическое образование. Профессиональный пользователь MS Excel, 1C. Опыт работы экономистом (финансовым менеджером) в коммерческой компании не...","Работа с большим объемом информации, MS Access, Финансовый анализ, Бюджетирование, Аналитическое мышление, MS Excel, 1C",https://hh.ru/vacancy/117042988
Экономист-аналитик,Уралрегионинструмент,Екатеринбург,От 1 года до 3 лет,90000.0,120000.0,RUR,"Высшее экономическое образование. Знание теории и методологии финансового анализа, особенностей финансового учета и отчетности.","План-факт анализ, Финансовый анализ, Экономический анализ, Формирование аналитической отчетности, Финансовый контроль",https://hh.ru/vacancy/110640410
Координатор отдела продаж (аналитик),Novabev Group,Екатеринбург,Нет опыта,50000.0,50000.0,RUR,"Готовы рассмотреть без опыта работы. Хорошее знание программы Excel (расчеты по формулам, работа с функциями, сводными таблицами). Аналитический склад ума...",MS Excel,https://hh.ru/vacancy/117086166
Консультант 1С/Аналитик 1С,Техно-линк,Екатеринбург,От 1 года до 3 лет,70000.0,115000.0,RUR,Аналогичный опыт работы обязателен. Грамотная речь — мы много общаемся по работе.,"Грамотная речь, Грамотность, Работа с базами данных, Телефонные переговоры, Сопровождение клиентов, понимание бизнес процессов",https://hh.ru/vacancy/116812286
Аналитик 1С (регучет),Ситек,Екатеринбург,Нет опыта,150000.0,220000.0,RUR,Опыт работы в штатной техподдержке или в 1С:Франчайзи в 1С на управляемых формах от 2-х лет...,Не указаны,https://hh.ru/vacancy/111435343
Аналитик 1С,"Бристоль, сеть магазинов",Екатеринбург,От 3 до 6 лет,123000.0,123000.0,RUR,Высшее профильное образование. Опыт внедрения информационных систем в роли <highlighttext>аналитика</highlighttext>. Практические знания профильной конфигурации 1С. Опыт написания базовых запросов...,"Постановка задач разработчикам, Разработка технических заданий, Обновление конфигурации 1С, Системное тестирование, 1С: Зарплата и управление персоналом, 1C: ERP, 1С:ТОИР, 1С:БП",https://hh.ru/vacancy/117656808
Экономист-аналитик,Транспортная компания Kit,Екатеринбург,Нет опыта,60000.0,70000.0,RUR,"Высшее экономическое или математическое образование. Умение работать с большим объёмом информации. Опытный пользователь ПК, знание Excel. Ответственность, исполнительность, внимательность.","Ведение переписки, Экономический анализ, MS Excel, Анализ данных",https://hh.ru/vacancy/112745080
Аналитик - экономист (Junior),"Монетка, Торговая сеть",Екатеринбург,Нет опыта,45000.0,55000.0,RUR,"Высшее/средне-специальное образование (экономическое. менеджмент). Уверенный пользователь ПК (Word, Excel). Аналитический склад ума. Готовность к обработке больших объемов информации. ",Не указаны,https://hh.ru/vacancy/115983031
Аналитик-консультант 1С (Управленческий учет),Отдел ИТ,Екатеринбург,От 3 до 6 лет,100000.0,150000.0,RUR,"Требуемый опыт работы: от 3-6 лет. Опыт работы с системами ЕГАИС, Меркурий, ИС МП и иными приветствуется. ",Не указаны,https://hh.ru/vacancy/117334719
Маркетолог-аналитик,Березовский ремонтно-механический завод,Екатеринбург,От 1 года до 3 лет,90000.0,107000.0,RUR,"Высшее образование. Опыт работы в аналогичной должности. Коммуникабельность, стрессоустойчивость, ответственность.","Пользователь ПК, Работа в команде, Организаторские навыки",https://hh.ru/vacancy/115478463
Аналитик службы безопасности (сеть магазинов Верный),"ВЕРНЫЙ, Сеть магазинов",Екатеринбург,От 1 года до 3 лет,70000.0,75000.0,RUR,"Опыт работы от 1 года в Retail (желательно). Аналитический склад ума. Знание уголовного и уголовно-процессуального права, КоАП. ","Внутренний контроль, 1С, MS Excel, Анализ бизнес-процессов, Анализ бизнес показателей",https://hh.ru/vacancy/113713706
Аналитик 1С (регламентированный или управленческий учет),ЭРИКОС,Екатеринбург,От 1 года до 3 лет,60000.0,120000.0,RUR,"Знание регламентированного учета (опыт работы бухгалтером, бухгалтером по зарплате) И/ ИЛИ управленческого учета (области финансы, планирование, бюджетирование). Уверенный пользователь ПК...","ERP-системы на базе 1С, 1С: Управление Торговлей, 1С: Предприятие 8, 1С: Комплексная автоматизация, Автоматизация процессов, Постановка задач разработчикам, Расчет себестоимости, Консультирование клиентов, Бухгалтерская отчетность, Налоговая отчетность, 1С: Управление Производственным Предприятием, Бюджетирование, Управленческая отчетность",https://hh.ru/vacancy/117062695
Системный аналитик 1C,ТетраТранс,Екатеринбург,От 1 года до 3 лет,150000.0,150000.0,RUR,Знание не менее 2х конфигураций 1С на уровне пользователя. Уверенное знание механизмов платформы 1С версии 8.3. ,"1С: Предприятие 8, BPMN, Scrum",https://hh.ru/vacancy/110595517
Аналитик 1С,Солярис,Екатеринбург,От 1 года до 3 лет,80000.0,150000.0,RUR,"Приветствуется наличие сертификатов профессионал, специалист, специалист-консультант 1С. Опыт работы <highlighttext>аналитиком</highlighttext> 1С от 2-х лет. ","1С, 1C: ERP, 1С: Управление Торговлей, 1С: Зарплата и управление персоналом, 1С: Комплексная автоматизация, 1С: Бухгалтерия, 1C: Управление нашей фирмой, MS Excel, MS Word",https://hh.ru/vacancy/116720768
Финансовый аналитик,"МАГНИТ, Розничная сеть",Екатеринбург,От 1 года до 3 лет,60870.0,60870.0,RUR,"Владение Excel на уровне продвинутого пользователя (функции и формирования сводных таблиц). Знание основ экономического анализа, бухгалтерского учета. Приветствуется владение навыком...","MS Excel, SQL, Бухгалтерский учёт, Экономический анализ",https://hh.ru/vacancy/116685247
Методолог-аналитик в Учебный центр Компании,Металлинвест,Екатеринбург,От 1 года до 3 лет,70000.0,80000.0,RUR,Опыт построения (или понимание) систем дистанционного обучения (iSpring). Опыт работы в видеоредакторах. Понимание методологии разработки обучающих материалов.,Не указаны,https://hh.ru/vacancy/116730319
Аналитик-консультант 1С:ERP,ПивКо,Екатеринбург,От 1 года до 3 лет,130000.0,150000.0,RUR,"Опыт практической работы по внедрению 1С:ERP, хорошее знание конфигурации. Понимание управленческого, бухгалтерского и налогового учета. Умение описывать и...",1С: Документооборот,https://hh.ru/vacancy/106240751
Бухгалтер-консультант (аналитик 1С),1-й Советник,Екатеринбург,От 3 до 6 лет,80000.0,100000.0,RUR,"Опыт работы в программе 1С в качестве пользователя (укажите, пожалуйста, в своем резюме в каких конфигурациях 1С Вы...",Не указаны,https://hh.ru/vacancy/117065340
"Аналитик 1С:ERP на блок ""Производство""",Активная логика,Екатеринбург,От 1 года до 3 лет,150000.0,300000.0,RUR,Ты приобрел опыт работы в роли <highlighttext>аналитика</highlighttext> 1С или был активным участником проекта по внедрению одного из продукта 1...,Не указаны,https://hh.ru/vacancy/113859900
Ведущий менеджер по планированию закупок ( Аналитик),Эльмаш-УЭТМ,Екатеринбург,От 1 года до 3 лет,60000.0,93150.0,RUR,Высшее техническое образование. Знание EXCEL (в том числе умение программировать макросы и знать инструмент Power Pivot). Приветствуется опыт работы в...,Не указаны,https://hh.ru/vacancy/116741681
Ведущий аналитик 1С,ФГБОУ ВО Уральский государственный юридический университет имени В.Ф. Яковлева,Екатеринбург,От 1 года до 3 лет,90000.0,90000.0,RUR,"Высшее образование (техническое, в сфере информационных технологий). Опыт работы в качестве <highlighttext>аналитика</highlighttext>, бизнес-<highlighttext>аналитика</highlighttext>, системного <highlighttext>аналитика</highlighttext> (от 2-х лет). ","1С программирование, Аналитика, 1С: Зарплата и управление персоналом, 1С: Бухгалтерия, 1С-Битрикс",https://hh.ru/vacancy/110239474
Экономист-аналитик,ЕРЦ,Екатеринбург,Нет опыта,45000.0,54400.0,RUR,"Рассмотрим кандидатов без опыта работы при наличии законченного среднего профессионального или высшего образования. Умение анализировать информацию, внимательность к деталям. ",Не указаны,https://hh.ru/vacancy/115246401
Аналитик 1С:ERP,Активная логика,Екатеринбург,От 1 года до 3 лет,150000.0,300000.0,RUR,Ты приобрел опыт работы в роли <highlighttext>аналитика</highlighttext> 1С или был активным участником проекта по внедрению одного из продукта 1...,Не указаны,https://hh.ru/vacancy/113850466
Старший системный аналитик 1С,Головное подразделение Сибагро,Екатеринбург,От 3 до 6 лет,140000.0,195000.0,RUR,"Высшее образование (информационные технологии). Иметь опыт внедрения/сопровождения программных продуктов от 3-х лет. Умение анализировать процессы предметной области, осуществлять...","Системный анализ, 1С программирование, 1С: Предприятие, ERP-системы на базе 1С, Оптимизация бизнес-процессов, 1С: Управление Производственным Предприятием",https://hh.ru/vacancy/107280829
Менеджер по продажам B2B в отдел холодных продаж сервиса аналитики MPSTATS,MPSTATS,Екатеринбург,Нет опыта,190000.0,370000.0,RUR,вести клиентов в CRM-системе (опыт работы с AMOCRM - преимущество). Опыт продаж: вы уверенно ведете переговоры и с легкостью убеждаете...,"Аналитическое мышление, B2B Продажи, Холодные продажи, Развитие продаж, Поиск и привлечение клиентов, Активные продажи, Организаторские навыки, Работа с ключевыми клиентами, Маркетинговый анализ, Деловая переписка, Управление отношениями с клиентами, amoCRM, Навыки переговоров, Аналитика продаж",https://hh.ru/vacancy/117027207
Аналитик,Транспортная компания Kit,Екатеринбург,От 1 года до 3 лет,70000.0,80000.0,RUR,Законченное высшее экономическое или математическое образование. Умение работать с большим объемом информации. Отличное знание Excel. Аналитический склад ума. ,"MS Excel, Аналитическое мышление, Power BI, Подготовка отчетов, Ценообразование, Анализ рынка",https://hh.ru/vacancy/112695093
