Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Политический аналитик / обозреватель,Вавилон,Москва,От 1 года до 3 лет,150000.0,,RUR,"Английский язык (уровень от В2 и выше). Навык выстраивания экспертно-аналитической деятельности. Знание и применение методов и процедур, применяемых...","Политическая журналистика, Мониторинг СМИ, Написание информационных текстов, Информационные статьи, Мониторинг трендов",https://hh.ru/vacancy/117722682
BI-аналитик,Топассистент,Москва,От 3 до 6 лет,400000.0,,RUR,опыт работы в роли <highlighttext>аналитика</highlighttext> / BI-<highlighttext>аналитика</highlighttext> от 3 лет. - опыт работы с Power BI от 3 лет. - ,"Power BI, Python, SQL, BI-системы, Базы данных, Математическая статистика, Автоматизация отчетности",https://hh.ru/vacancy/117723095
Оператор-аналитик в Excel,Керамик Молл,Москва,Более 6 лет,40000.0,60000.0,RUR,"Внимательность, аналитический склад ума. Знание Excel и Google-сервисов (Google Sheets, Google Docs). Уверенный пользователь ПК. Ответственность, активная жизненная позиция...",Не указаны,https://hh.ru/vacancy/117785917
Аналитик данных в Excel,Genesis,Москва,От 1 года до 3 лет,50000.0,,RUR,"Уверенный пользователь ПК (Excel). Опыт выгрузки данных из облака в Excel. Внимательность, скрупулёзность.",Не указаны,https://hh.ru/vacancy/117640799
Аналитик,Глонасс,Москва,Нет опыта,200000.0,200000.0,RUR,"Высшее экономическое образование. Цифровая грамотность: Word, 1С - 8, PowerPoint, продвинутые знания EXCEL, ACCESS, SQL и пр. Навыки: Умением работать...","Автоматизация, Автоматизация процессов, Автоматизация отчетов",https://hh.ru/vacancy/116814056
Финансовый аналитик,Балина Ирина Юрьевна,Москва,От 1 года до 3 лет,70000.0,,RUR,Навык работы с большим объемом данных. Опыт работы бухгалтером от 1-2 года. Опыт ведения полного цикла бухгалтерского учета (не...,Не указаны,https://hh.ru/vacancy/116696632
Data-аналитик в области временных рядов (Junior),ИНИТИ,Москва,От 1 года до 3 лет,247000.0,,RUR,"Уверенные знания Python и библиотек для работы с данными (pandas, numpy, scipy, matplotlib, seaborn). Опыт работы с временными рядами и...",Не указаны,https://hh.ru/vacancy/117706683
Системный аналитик,Группа компаний МЕДСИ,Москва,От 1 года до 3 лет,200000.0,250000.0,RUR,Мы хотим работать с тобой. Опыт работы системным <highlighttext>аналитиком</highlighttext> – от 2 лет. Знание и опыт применения SQL и нотаций UML...,"SQL, XML, BPMN, UML, Аналитическое мышление, Бизнес-анализ, Системный анализ, SOAP",https://hh.ru/vacancy/117791121
Аналитик,GrowCraft,Москва,Нет опыта,80000.0,,RUR,Высокий уровень самоорганизации и готовность брать на себя ответственность за результат. Аналитический склад ума и умение работать с большими объёмами...,"Аналитика продаж, Планирование продаж, Стратегия продаж, Ориентация на результат, Построение воронки продаж, ABC-анализ, Внутренняя реклама, маркетинг, Маркетолог, Анализ воронки продаж, Анализ конкурентной среды, Оптимизация воронки продаж",https://hh.ru/vacancy/117572981
Аналитик проекта,ФГБУ ВНИИ труда Минтруда России,Москва,От 3 до 6 лет,150000.0,,RUR,"высшее образование (магистратура, специалитет) в сфере математики, социологии, экономики, ИТ. - знание методологии статистических расчетов. - уверенное пользование ПК, продвинутый уровень пользования...",Не указаны,https://hh.ru/vacancy/117666364
Продуктовый аналитик (Junior),Кофемания,Москва,От 1 года до 3 лет,140000.0,,RUR,"Опыт работы бизнес-<highlighttext>аналитиком</highlighttext> или проектным <highlighttext>аналитиком</highlighttext> от 1 года. Знание SQL (оконные функции, вложенные запросы, join, CTE и т...","SQL, Моделирование бизнес-процессов, Аналитическое мышление, Бизнес-анализ",https://hh.ru/vacancy/116746156
Junior Data Scientist \ Аналитик,M1,Москва,От 1 года до 3 лет,50000.0,60000.0,RUR,Работать с большими объемами данных. Анализировать и визуализировать данные. Для этого нужно: Знание SQL и опыт работы с СУБД: PostgreSQL...,"Python, PostgreSQL, MariaDB, Clickhouse, MS SQL",https://hh.ru/vacancy/117152095
Стажер Бизнес-аналитик ВТБ Юниор,Банк ВТБ (ПАО),Москва,Нет опыта,75000.0,75000.0,RUR,"Учишься на экономической, математической, технической или ИТ-специальности. Владеешь MS Excel на продвинутом уровне. Имеешь базовые знания SQL и Python. ",Не указаны,https://hh.ru/vacancy/117579801
Младший аналитик,USBMAG,Москва,Нет опыта,80000.0,,RUR,"Опыт работы в аналогичной должности от полугода. Образование не ниже среднего профессионального. Знание Excel на продвинутом уровне ( Power Query, умные...",Не указаны,https://hh.ru/vacancy/117567210
Системный аналитик (senior/middle+/middle),НЕТБЕЛЛ,Москва,От 3 до 6 лет,,320000.0,RUR,Опыт работы в системном анализе от 3х лет на корпоративных проектах. Опыт работы в scrum (или около-scrum) командах. ,"Agile, REST API, System Analysis, BPMN 2.0, Camunda, Apache Kafka, Use case, БД, User Story, sequence diagram, Attlasian Jira, Atlassian Confluence, Микросервисная архитектура, Моделирование бизнес-процессов, SQL, PostgreSQL, Системный анализ",https://hh.ru/vacancy/117333017
Аналитик данных,Азбука вкуса,Москва,От 1 года до 3 лет,200000.0,200000.0,RUR,"Уверенный пользователь MS Excel (формулы, макросы, Power Query, сводные таблицы и проч.). Уверенное владение SQL: автоматизация процедур, важно умение писать...","Python, VBA, SQL, Аналитическое мышление, WMS, Складская логистика",https://hh.ru/vacancy/117027217
Руководитель группы аналитики,Государственная гражданская служба,Москва,От 3 до 6 лет,220000.0,250000.0,RUR,Опыт в финансовом анализе бизнеса и бизнес-<highlighttext>аналитике</highlighttext> — от 3 лет. — Знание современных подходов к управлению долгом и государственными финансами. ,"Бизнес-анализ, Анализ бизнес-процессов, Реинжиниринг бизнес-процессов, Управление проектами, Финансовый анализ, SQL, Python, Анализ данных",https://hh.ru/vacancy/117674211
Системный аналитик,Soar high software,Москва,Нет опыта,100000.0,150000.0,RUR,"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, Python). Понимание принципов работы реляционных баз данных. ","Работа с базами данных, REST, API, SOAP, Scrum, JSON, Сбор и анализ информации, Системный анализ, XML, SQL, Бизнес-анализ, BPMN, UML, Разработка технических заданий, Моделирование бизнес процессов",https://hh.ru/vacancy/117682807
Ассистент аналитика,Салон красоты Vishur Beauty,Москва,Нет опыта,30000.0,,RUR,"Вы внимательный, усидчивый и способны выполнять повторяющиеся задачи. - опыт не важен, научим, покажем, расскажем. От Вас: - Вы НЕ будете самостоятельно...","Аналитическое мышление, Интернет-реклама, Ведение отчетности, конкурентный анализ, Деловая коммуникация, Работа с большим объемом информации, Работа с CRM, Маркетинговый анализ",https://hh.ru/vacancy/117688339
Директор по бизнес-процессам / системный аналитик (бизнес-аналитик),Крупная аптечная сеть,Москва,От 3 до 6 лет,400000.0,1000000.0,RUR,Опыт работы руководителем группы системных <highlighttext>аналитиков</highlighttext> от 3-х лет. Опыт управления командой от 5 человек. Опыт непосредственной разработки ПО...,Не указаны,https://hh.ru/vacancy/116134848
Мультибрендовый менеджер-аналитик по закупкам,SIDERUS,Москва,От 3 до 6 лет,200000.0,,RUR,"Опыт работы в закупках (мультибрендовый) от 3-х лет. Преимущество тем кандидатам, которые работали в сфере поставок/импорта промышленного оборудования...","Немецкий язык, Английский язык, Закупка оборудования, Международные бренды, Аналитическое мышление, Конкурентная аналитика, MS Excel, MS PowerPoint",https://hh.ru/vacancy/117743089
Аналитик видеонаблюдения,АКО,Москва,Нет опыта,40000.0,56000.0,RUR,"у вас есть опыт в контроле качества, техподдержке, видеонаблюдении, обучении торгового персонала, вы работали в КРО или в службе безопасности.  ",Не указаны,https://hh.ru/vacancy/117780216
Стажер/аналитик данных (ВТБ Юниор),Changellenge,Москва,Нет опыта,,75000.0,RUR,"Выпускник бакалавриата или специалитета /магистратуры. Учишься на математической, технической, экономической или ИТ-специальности. Имеешь опыт работы с SQL и Python...",Не указаны,https://hh.ru/vacancy/117655117
Системный аналитик,AlfaBit,Москва,От 3 до 6 лет,180000.0,350000.0,RUR,"Понимание архитектурных паттернов. Понимание принципов взаимодействия информационных систем, БД, интеграционных механизмов. Понимание гибких проектных методологий. Опыт работы в проектах с...",Не указаны,https://hh.ru/vacancy/117158835
Ассистент финансового аналитика,Инфраструктурные решения и работы,Москва,Нет опыта,50000.0,90000.0,RUR,"Уверенное владение Excel. Уровень английского — B2 (Upper-Intermediate) и выше. Базовые знания фин. отчётности, бух. учёта.","Английский язык, MS Excel, Бухгалтерский учет",https://hh.ru/vacancy/117592821
Junior System Analyst (Системный аналитик),Workmate,Москва,Нет опыта,80000.0,,RUR,"понимание особенностей написания и различия use case, user story, job story. - понимание роли системного <highlighttext>аналитика</highlighttext> в команде разработки. - ",Не указаны,https://hh.ru/vacancy/117172197
Младший системный аналитик,Московский филиал АО ЦентрИнформ,Москва,От 1 года до 3 лет,130000.0,,RUR,"Знание REST и умение описывать его в swagger. Стандарт OPEN API. Опыт разработки функциональных требований, технических заданий. Опыт с xml...","UML, Разработка технических заданий, Управление проектами",https://hh.ru/vacancy/115766499
Продуктовый аналитик/junior product менеджер,РБК,Москва,От 1 года до 3 лет,100000.0,,RUR,Умение работать с SQL и Google Analytics или другими системами <highlighttext>аналитики</highlighttext>. Понимание процесса разработки мобильных приложений и веб-сервисов. ,"SQL, Google Analytics, Tableau, Power BI, BigQuery, Looke, UML, Use Case Analysis, Анализ данных",https://hh.ru/vacancy/117755664
Аналитик в проектную команду,Кофемания,Москва,От 1 года до 3 лет,140000.0,,RUR,"Опыт работы бизнес-<highlighttext>аналитиком</highlighttext> или проектным <highlighttext>аналитиком</highlighttext> от 1 года. Знание SQL (оконные функции, вложенные запросы, join, CTE и т...","SQL, Моделирование бизнес-процессов, Аналитическое мышление, Бизнес-анализ",https://hh.ru/vacancy/114301175
Junior Системный аналитик,Жегалова София Сергеевна,Москва,Нет опыта,70000.0,,RUR,"Какие навыки нам важны: Базовые знания в области работы веб-приложений (HTTP, REST API, JSON). Представление о принципах работы с...","HTTP, TCP/IP, SQL, BPMN, UML",https://hh.ru/vacancy/117629418
Аналитик данных,ГБУ Информационно-Консультационный Центр Департамента Культуры Города Москвы,Москва,От 1 года до 3 лет,140000.0,,RUR,"Законченное высшее образование (информатика, IT, экономика и т.п.). — Продвинутый уровень Excel (ВПР, сводные таблицы и т.д.). — ","MS Excel, MS Office, Аналитика, Сбор и анализ информации, Экономика, Анализ финансовых показателей, Автоматизация бизнес-процессов, Информационные технологии",https://hh.ru/vacancy/117791356
Аналитик,Группа компаний ЭРКАФАРМ,Москва,Нет опыта,100000.0,,RUR,"Продвинутый MS Excel (функции с ЕСЛИ, ВПР, сводные таблицы). Знание 1С будет преимуществом. Знание DAX, Power Query, PowerPivot будет...",Не указаны,https://hh.ru/vacancy/117430189
Финансовый аналитик,Avilon Group,Москва,От 1 года до 3 лет,160000.0,200000.0,RUR,Высшее образование. Опыт работы в аналогичной должности. Опыт работы в производственных компаниях будет являться существенным преимуществом. Знание основ бухгалтерского учета...,Управленческая отчетность,https://hh.ru/vacancy/117612207
Аналитик данных (онлайн-школа),Ameli Soul,Москва,От 3 до 6 лет,100000.0,,RUR,У тебя есть опыт работы в самостоятельной роли <highlighttext>аналитика</highlighttext> от 3-х лет. У тебя есть высшее математическое/экономическое образование. ,"Ответственность, Внимательность, Коммуникативные навыки",https://hh.ru/vacancy/116836444
Бухгалтер аналитик удаленно,Молчан Д.В.,Москва,Более 6 лет,150000.0,,RUR,СВОБОДНОЕ владение РАЗГОВОРНЫМ английским языком для регулярного общения с поставщиками и работы с финансовой документацией. Опыт работы в бухгалтерии строительных...,"Английский язык, МСФО, 1C: Бухгалтерия, Международные стандарты бухгалтерского учета, Финансовый анализ, Внутренний финансовый аудит",https://hh.ru/vacancy/116911846
Data-analyst(junior),Flowwow,Москва,От 1 года до 3 лет,,100000.0,RUR,"Желание активно расти и развиваться в сфере продуктовой <highlighttext>аналитики</highlighttext>/<highlighttext>аналитики</highlighttext> данных. Самостоятельность: умение гуглить, думать, пробовать решить проблему, не бояться...",Не указаны,https://hh.ru/vacancy/117258467
Бизнес-аналитик,Mindbox,Москва,От 1 года до 3 лет,210000.0,275000.0,RUR,Быстрая адаптация к новым инструментам и методологиям на платформе. Опыт работы бизнес-<highlighttext>аналитиком</highlighttext> не менее 1 года в IT/SaaS. ,Не указаны,https://hh.ru/vacancy/117374819
Финансовый аналитик,Азимут,Москва,Нет опыта,110000.0,130000.0,RUR,"Высшее образование (экономические, математические, статистические специальности. Уверенный пользователь Excel (Power Query +Power Pivot, Power BI, Tableau). Знание принципов бюджетирования и...","Финансовый анализ, Финансовая отчетность, Финансовая стратегия, Управление налоговыми рисками, План-факт анализ, Бюджетирование, Финансовый аудит, Аналитическое мышление, Финансовое планирование, Финансовый менеджмент, Финансовое моделирование, Финансовый контроль, Отчет о финансовых результатах, Формирование аналитической отчетности, Экономический анализ",https://hh.ru/vacancy/116854503
Аналитик по работе с ключевыми клиентами,Сады Придонья,Москва,От 1 года до 3 лет,,150000.0,RUR,"Высшее образование (экономическое, финансовое, техническое). Продвинутый пользователь 1С, Microsoft Office. Современные инструменты сбора и обработки информации, прогноза. ",Не указаны,https://hh.ru/vacancy/117782163
Аналитик-тестировщик с редкими командировками (срочный выход),АЙТИ КА,Москва,От 1 года до 3 лет,80000.0,120000.0,RUR,"Опыт ручного тестирования, желание развиваться в <highlighttext>аналитике</highlighttext> или автоматизации.  Понимание логики бизнес-процессов и процессов производства.  Готовность работать без готовых...","Функциональное тестирование, Составление тест-кейсов, Тестирование по тест-кейсам, Анализ требований, Исправление багов, Составление баг-репортов, Ручное тестирование, Анализ тестирования",https://hh.ru/vacancy/117580391
Бизнес-аналитик,Штумпф,Москва,Нет опыта,70000.0,,RUR,"Знание принципов Agile и понимание роли бизнес-<highlighttext>аналитика</highlighttext> в различных методологиях. Осознание важности ведения документации (user stories, use case и...",Бизнес-анализ,https://hh.ru/vacancy/117083610
Финансовый менеджер | Финансовый аналитик,Ечипс Импорт,Москва,От 3 до 6 лет,250000.0,,RUR,"Высшее образование в области экономики, финансов. Опыт на аналогичной должности от 3-х лет. Профессиональные навыки финансового анализа и моделирования. ",Не указаны,https://hh.ru/vacancy/116751415
Технический писатель / системный аналитик / стажер в отдел аналитики,headway.moscow,Москва,Нет опыта,,50000.0,RUR,Пунктуален в дедлайнах. Умеет грамотно писать на техническом языке.,Не указаны,https://hh.ru/vacancy/117046741
Финансовый аналитик / Финансист,ZENSTAFF,Москва,Нет опыта,120000.0,,RUR,"Высшее образование в сфере финансов/экономики.  Опыт работы с финансовым и управленческим учетом.  Глубокое понимание финансового анализа, бюджетирования, прогнозирования.  ","Финансовая отчетность, Финансовый анализ, Отчет о движении денежных средств, Отчет о прибылях и убытках, Расчет затрат, Управленческая отчетность, Финансовый менеджмент, Бюджетирование, Финансовое планирование, Отчет о финансовых результатах",https://hh.ru/vacancy/117387991
Главный финансовый аналитик,Бизан,Москва,От 3 до 6 лет,200000.0,300000.0,RUR,"Высшее экономическое образованное. Знание принципов бухгалтерского, управленческого учета. Релевантный опыт работы (опыт работы в консалтинге является преимуществом). Понимание стандарта разработки...","Финансовый анализ, Финансовое моделирование, MS Excel, Работа с большим объемом информации, Аналитические тексты",https://hh.ru/vacancy/117765282
Аналитик 1С младший,Чит-код,Москва,От 1 года до 3 лет,150000.0,230000.0,RUR,"Вы работали в 1С как пользователь более 6 месяцев? В целом понятно, а что конкретно нужно будет делать?","1С: Комплексная автоматизация, Автоматизация управленческой отчетности, 1С: ERP, 1C: Управление торговлей",https://hh.ru/vacancy/117565765
Аналитик (финансовое моделирование),Перспектива,Москва,Более 6 лет,,320000.0,RUR,"Опыт работы в области корпоративных финансов, финансового моделирования в консалтинговых компаниях, в компаниях большой четверки и экс-Big4 / крупных...",Не указаны,https://hh.ru/vacancy/117556948
Администратор бизнес процессов / Бизнес аналитик,Центр ДНК Тест,Москва,От 1 года до 3 лет,200000.0,450000.0,RUR,Опыт работы в Business Studio. - Опыт от 1-го года в области администрирования/описания/реинжиниринга бизнес-процессов. - Знание методологии и...,"Анализ бизнес-процессов, Бизнес-анализ, Разработка пользовательской документации, Business Studio, MS Visio",https://hh.ru/vacancy/116904019
Аналитик по товарным остаткам,ЕТС груп,Москва,Нет опыта,80000.0,,RUR,"Аналогичный опыт работы от 1 года (<highlighttext>аналитик</highlighttext> товарных остатков, менеджер товародвижения). Уверенное владение 1С и Excel (таблицы, формулы). ",Не указаны,https://hh.ru/vacancy/117804309
Аналитик данных,"TEXX, компания",Москва,Нет опыта,55000.0,,RUR,"Высшее или средне-специальное образование (техническое). Ответственность, исполнительность, нацеленность на результат, способность работать как самостоятельно, так и в команде.","умение работать с программами Word, Excel, Power Point, Аналитическое мышление, Формирование отчетности, Работа с большим объемом информации",https://hh.ru/vacancy/117793883
Инспектор GCP (Главный аналитик),ФГБУ НЦЭСМП Минздрава России,Москва,Более 6 лет,150000.0,,RUR,"Знание и использование в работе принципов и процессов, применяемых при. Разработке лекарственных средств и проведении клинических исследований. Требования: наличие опыта...","Работа с большим объемом информации, Деловая переписка, разработка нормативных документов, Высшее образование, Работа в условиях многозадачности, аудит клинических исследований, клинические исследования",https://hh.ru/vacancy/117677782
Бизнес-аналитик/Системный аналитик Junior,Осока Виталий Михайлович,Москва,Нет опыта,80000.0,120000.0,RUR,"Уверенный пользователь MS Office. В частности, отличные навыки Excel. Умение анализировать и систематизировать информацию. Умение ясно и лаконично выражать свои...","Анализ бизнес-процессов, Стратегическое планирование, Аналитическое мышление, Моделирование бизнес процессов, Автоматизация бизнес-процессов, Разработка бизнес-требований",https://hh.ru/vacancy/117287846
Аналитик маркетплейсов,Примио,Москва,Нет опыта,40000.0,40000.0,RUR,Внимательны к деталям. -Не боитесь учиться и хотите погрузиться в новую сферу. -Усидчивы(для Вас не проблема провести за компьютером...,MS Excel,https://hh.ru/vacancy/117380635
Аналитик Excel,Кадры Онлайн,Москва,От 1 года до 3 лет,120000.0,,RUR,"Опыт работы: Опыт работы <highlighttext>аналитиком</highlighttext> Excel от 1 года. Уверенное владение Excel на продвинутом уровне (формулы, сводные таблицы, умные таблиц...","Работа с большим объемом информации, Составление отчетов, MS Excel, Написание отчетов, Сквозная аналитика",https://hh.ru/vacancy/117409045
Аналитик данных (Data Analyst),Национальный исследовательский университет Высшая школа экономики,Москва,Нет опыта,80000.0,100000.0,RUR,Навыки работы с большими массивами данных и выявления отклонений или тенденций. Продвинутый уровень владения MS Excel: умение работать с формулами...,Не указаны,https://hh.ru/vacancy/117410530
Аналитик/Разработчик Power BI,Импауэр,Москва,Более 6 лет,250000.0,350000.0,RUR,"Продвинутое знание SQL, умение писать сложные запросы - готовность пройти тестирование на знание SQL. Продвинутое знание инструментария Power BI - опыт работы...","SQL, Power BI, Анализ бизнес-процессов, Анализ требований, Постановка задач разработчикам, 1С, Битрикс24, ETL, API, Коммуникативные навыки",https://hh.ru/vacancy/117652745
Системный аналитик,LIFE PAY,Москва,От 3 до 6 лет,300000.0,400000.0,RUR,Стаж работы по специальности не менее 2-х лет. Опыт написания постановочной документации уровня функциональной и технической спецификации. ,"Аналитическое мышление, BPMN, UML, REST API, BDD, openAPI",https://hh.ru/vacancy/115639729
Бизнес-аналитик,Soar high software,Москва,Нет опыта,100000.0,140000.0,RUR,"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, Python). Понимание принципов работы реляционных баз данных. ","Работа с базами данных, REST, API, SOAP, Scrum, JSON, Сбор и анализ информации, Системный анализ, XML, SQL, Бизнес-анализ, BPMN, UML, Разработка технических заданий, Моделирование бизнес процессов",https://hh.ru/vacancy/117396626
Аналитик данных - Data Analyst (middle),Smartis,Москва,От 1 года до 3 лет,180000.0,210000.0,RUR,"Опыт работы в роли <highlighttext>аналитика</highlighttext> данных на уровне middle (от 2 лет). Глубокое знание SQL (MySQL, ClickHouse). Опыт работы с...","SQL, Python, JSON, MS SQL, Big Data, Clickhouse, Маркетинговые метрики",https://hh.ru/vacancy/117537089
Бизнес-аналитик,Меринов Григорий Алексеевич,Москва,Нет опыта,,25000.0,RUR,"Уметь пользоваться Google Таблицами и Документами. Навыки работы с ChatGPT и Perplexity.ai будут плюсом. Наличие ноутбука и телефона, хорошего интереса. ","Деловая переписка, Документооборот, Организация деловых поездок, Составление отчетов, Поиск информации в интернет, Составление чек-листов, Подготовка презентаций, Работоспособность",https://hh.ru/vacancy/117583507
Аналитик криптовалют,БКХ Еком,Москва,От 1 года до 3 лет,,100000.0,RUR,Интерес к трейдингу и криптовалютам (важно!). Аналитический склад ума и способность работать с большими объемами данных. Продвинутый уровень Excel (формулы...,"Аналитическое мышление, MS Excel, Внимательность, Логическое мышление, Анализ текстовой информации, Системное мышление",https://hh.ru/vacancy/117155066
"Аналитик данных (Excel,Getcourse)",АНО ДПО Ведантика,Москва,От 3 до 6 лет,50000.0,,RUR,"Экспертный уровень знания EXCEL (сводные таблицы, связывание наборов данных, работа с источниками данных различных форматов). Усидчивость и аналитический склад ума. ","Анализ данных, Базы данных, Статистический анализ, Подготовка презентаций, Маркетинговый анализ, Аналитические исследования, Аналитика, MS Excel",https://hh.ru/vacancy/117460493
"Инвестиционный аналитик (GCC: UAE, Qatar, Kuwait, Bahrain, Saudi Arabia, Oman)",HR-Stalker,Москва,От 3 до 6 лет,270000.0,400000.0,RUR,"О роли: Опыт в финансовом анализе, моделировании и оценке рынка. Отличные аналитические и презентационные навыки. Свободный английский, грамотная письменная речь. ","Анализ инвестиционных проектов, Финансовый анализ, Портфельный анализ, Финансовый менеджмент, Финансовое моделирование, Финансовый аудит, Финансовое планирование, Английский язык, Системный анализ",https://hh.ru/vacancy/117581998
Младший менеджер по маркетплейсам/Начинающий специалист/Аналитик по маркетплейсам,NELUBISH,Москва,Нет опыта,70000.0,120000.0,RUR,"Не боитесь новых задач, с которыми раньше не сталкивались. Умеете работать с информацией, структурировать и грамотно доносить. Соблюдаете дедлайны или...",Не указаны,https://hh.ru/vacancy/117755829
Аналитик Excel,Городской информационный центр Инфосити,Москва,От 1 года до 3 лет,60000.0,,RUR,"Хорошее знание excel (сводные таблицы, ВПР, INDEX). Умение работать с большим объёмом данных в режиме многозадачности. Знания методов статистики и...","MS SQL, Продвинутый пользователь Excel, Анализ данных, SQL запросы, Аналитическое мышление, MS Access, Excel, Работа с базами данных, MS PowerPoint, Cистемы управления базами данных, Google таблицы, Сводные таблицы, Работа с большим объемом информации, SQL, ВПР",https://hh.ru/vacancy/116489960
Аналитик (e-commerce),Планета Творчества,Москва,От 1 года до 3 лет,80000.0,120000.0,RUR,Внимательность: умение замечать малейшие отклонения в данных. Аналитический склад ума. Усидчивость и готовность к большому объему работы. Желание развиваться: готовность...,Не указаны,https://hh.ru/vacancy/117481461
Младший аналитик,ПАУЭР,Москва,Нет опыта,70000.0,,RUR,"Высшее образование. Высокие аналитические способности, внимательность к деталям, структурированный подход. Желание и умение работать с большими массивами данных в режиме...",Не указаны,https://hh.ru/vacancy/117449898
Аналитик (экономист по работе с целевыми средствами),АНО Центр Поддержки Инжиниринга и Инноваций,Москва,Более 6 лет,200000.0,200000.0,RUR,"Основной уклон в работе будет в <highlighttext>аналитику</highlighttext>, методологию и контроль. Уровень владения Excel желателен на уровне выше среднего. ","Аналитическое мышление, Бюджетирование, Экономический анализ, Контроль бюджета, MS Excel",https://hh.ru/vacancy/117493821
Ассистент финансового аналитика (удаленно),Инфраструктурные решения и работы,Москва,Нет опыта,40000.0,70000.0,RUR,"Ищем ассистента финансового <highlighttext>аналитика</highlighttext> с уровнем английского языка Upper Intermediate и выше, уверенным знанием Excel и интересом к финансам. ","Английский язык, Анализ финансовых показателей, MS Excel, MS Word, Бухгалтерский учет",https://hh.ru/vacancy/117495701
Системный аналитик,Coco IT,Москва,Нет опыта,120000.0,150000.0,RUR,"Высшее образование, профильное будет плюсом. Любой опыт работы в качестве пользователя с программным обеспечением, профильный опыт работы будет плюсом. ","SQL, API, Apache Kafka, UML, BPMN, Системный анализ, Постановка задач разработчикам, Системная интеграция, Разработка технических заданий, Git, Интеграционное тестирование, Agile, Use case, User Story, PostgreSQL",https://hh.ru/vacancy/116080503
Аналитик,AMBER,Москва,От 1 года до 3 лет,100000.0,164000.0,RUR,Опыт работы в качестве <highlighttext>аналитика</highlighttext> от 2-х лет. Обязателен опыт работы с low-code платформами. Опыт разработки ТЗ. ,"SQL, BPMN",https://hh.ru/vacancy/116898292
Системный аналитик,Интерком,Москва,От 1 года до 3 лет,200000.0,,RUR,"Навыки работы с различными нотациями для описания процессов (диаграммы последовательности и.т.д). Опыт работы с Jira ,Confluence. ",Не указаны,https://hh.ru/vacancy/117687651
Аналитик-стажер / Junior Аналитик,Первый Бит,Москва,От 1 года до 3 лет,50000.0,,RUR,Получил высшее образование. Имеешь опыт работы от 1 года по любой специальности в любой компании. Уверенный пользователь ПК (знание программ...,"Аналитическое мышление, Работа с большим объемом информации, Разработка технических заданий, Обучение и развитие, Анализ бизнес показателей, Сбор и анализ информации, Аналитика, 1С",https://hh.ru/vacancy/117605080
Младший бизнес-аналитик / Аналитик проектов,Beorg,Москва,От 1 года до 3 лет,80000.0,,RUR,"Знание Excel (сводные таблицы, ВПР), Word, Google таблицы. Опыт работы с БД, написание SQL запросов. Базовые знания Python. ","SQL, Бизнес-анализ, MS Excel, Разработка технических заданий, Системный анализ, Аналитическое мышление, Постановка задач разработчикам, Базы данных, JSON, Python, REST API, Оптимизация бизнес процессов",https://hh.ru/vacancy/117752146
Аналитик (ВПР сводные таблицы),ГАУ ИНПЦ Гормедтехника,Москва,От 3 до 6 лет,100000.0,121000.0,RUR,"Высшее экономическое профессиональное образование. Умение работать в 1С, Excel - уровень не ниже 7,сводные таблицы -обязательно). Microsoft Excel (уровень...",Не указаны,https://hh.ru/vacancy/117495876
Аналитик данных,AYA GAMES,Москва,От 1 года до 3 лет,250000.0,400000.0,RUR,"Опыт работы <highlighttext>аналитиком</highlighttext> данных от 2-х лет. Уверенное знание Python с аналитическими библиотеками и SQL: Clickhouse, MySQL. ","Power BI, Metabase, Clickhouse, MySQL, gamedev",https://hh.ru/vacancy/117047994
Аналитик данных,target ai,Москва,От 1 года до 3 лет,150000.0,,RUR,Знаете принципы работы с BI-платформами. Умеете проводить <highlighttext>аналитику</highlighttext> Python с подключением SQL. Способны визуализировать данные в удобной для принятия...,"SQL, Python, Tableau, Metabase, Atlassian Jira, MS Excel, MS PowerPoint, Извлечение данных, Формирование аналитической отчетности, Анализ требований, Интерпретация данных",https://hh.ru/vacancy/116803783
