Название,Компания,Регион,Опыт работы,Зарплата от,Зарплата до,Валюта,Требования,Ключевые навыки,Ссылка
Аналитик 1С:ERP / Стажер 1С,Производственная Безопасность и Экология,Санкт-Петербург,От 1 года до 3 лет,,160000.0,RUR,...<highlighttext>аналитика</highlighttext> 1С кандидат принимается на должность Стажер 1С с зарплатой от 30 тыс. руб.). При отсутствии опыта <highlighttext>аналитика</highlighttext>...,"Обучение и развитие, Консультирование, 1С программирование, 1С: Предприятие, Обучение, Умение работать в коллективе, 1С: Управление предприятием, Разработка инструкций, Проведение тестирований",https://hh.ru/vacancy/117676950
Химик-аналитик Аналитической лаборатории,Санкт-Петербургский филиал ФГБУ ИМЦЭУАОСМП Росздравнадзора,Санкт-Петербург,Нет опыта,73000.0,,RUR,"Высшее образование (фармацевтическое, химическое, биотехнологическое, инженерно-технологическое). Владение практическими навыками проведения испытаний химическими и физико-химическими методами анализа, знания нормативной...","Контроль качества, Ведение документации, Аналитическое мышление, Умение работать в коллективе, Аналитические способности",https://hh.ru/vacancy/117374157
Менеджер по аналитике закупок,Содастрим сервис,Санкт-Петербург,Нет опыта,80000.0,100000.0,RUR,Опыт работы на аналогичной должности от 2 лет на торговом предприятии (опыт в сфере продуктов питания и напитков будет Вашим...,"аналитические способности, Системное мышление, Закупки",https://hh.ru/vacancy/116713414
Кредитный аналитик (проектное финансирование),СБЕР,Санкт-Петербург,От 3 до 6 лет,170000.0,,RUR,Высшее экономическое образование. Опыт работы в коммерческих банках по кредитованию корпоративных клиентов от 2-х лет. Опыт рассмотрения инвестиционных проектов...,"Финансовый анализ, Финансовая отчетность, Финансовое моделирование, Анализ ФХД, Риск-менеджмент, NPV, LLCR, DCR, РСБУ",https://hh.ru/vacancy/117742560
Ведущий специалист отдела аналитики,Государственное бюджетное учреждение Ленинградской области Многофункциональный центр предоставления государственных и муниципальных услуг,Санкт-Петербург,От 1 года до 3 лет,75000.0,85000.0,RUR,Опытный пользователь Excel. Образование среднее профессиональное или не законченное высшее. Стаж работы на подобной должности - не менее 1 года. ,"MS PowerPoint, Грамотная речь, Статистический анализ, Работа с большим объемом информации, MS Excel, Базы данных",https://hh.ru/vacancy/117648944
Бизнес-аналитик,Совкомбанк Страхование,Санкт-Петербург,От 1 года до 3 лет,106000.0,,RUR,"Опыт работы с анализом и структурированием данных от 2х лет. Продвинутый уровень знания MS Exсel, в том числе работа...","Бизнес-анализ, Анализ бизнес-процессов, Анализ обратной связи, Разработка пользовательской документации, Разработка бизнес-требований, Реинжиниринг бизнес-процессов, Системный анализ, Моделирование бизнес-процессов, Оптимизация бизнес-процессов, Автоматизация бизнес-процессов, Описание бизнес-процессов, Анализ требований, Постановка задач разработчикам",https://hh.ru/vacancy/117285868
Начинающий аналитик 1С,Первый Бит,Санкт-Петербург,Нет опыта,30000.0,60000.0,RUR,"Имеешь оконченное математическое или техническое образование (высшее или средне-специальное). Любишь изучать что-то новое, общаться с людьми, умеешь логически...","1С программирование, 1С аналитика, Коммуникабельность, Грамотная речь, Аналитическое мышление, Логическое мышление, Продвинутый пользователь ПК",https://hh.ru/vacancy/112044873
Консультант-аналитик 1С:ЗУП,"Роскар, птицефабрика",Санкт-Петербург,От 1 года до 3 лет,140000.0,180000.0,RUR,"Опыт внедрения 1С:ЗУП 3.1. Знание конфигурации на базе 1С:ЗУП, 1С:Бухгалтерия, готовность изучать новые...",1С: Зарплата и управление персоналом,https://hh.ru/vacancy/117210016
Таможенный аналитик,Элси Солюшенс,Санкт-Петербург,От 3 до 6 лет,100000.0,,RUR,"Знания таможенного законодательства на высоком уровне. Опыт работы по специальности. Знание офисных программ MS-Office. Усидчивость, внимательность, аккуратность, коммуникабельность, ответственность.","Таможенное оформление, ВЭД, Декларирование, Транспортная логистика, Логистика",https://hh.ru/vacancy/117214015
Химик-аналитик (инженер-химик),Фармпроект,Санкт-Петербург,От 1 года до 3 лет,80000.0,,RUR,"Высшее медицинское образование, (химико-фармацевтическое образование будет преимуществом). Опыт работы на газовом хроматографе. Готовы рассмотреть студентов последних курсов, получивших практический...",Не указаны,https://hh.ru/vacancy/87704531
Financial analyst | Финансовый аналитик,Эдскилл,Санкт-Петербург,От 1 года до 3 лет,120000.0,150000.0,RUR,Релевантный опыт от 2-х лет. Опыт работы с финансовыми показателями IT компаний. Опыт разработки новых форм финансовой отчетности. ,"Аналитическое мышление, Бюджетирование, Ведение отчетности, Работа с большим объемом информации, Работа с таблицами, Прогнозирование",https://hh.ru/vacancy/116508653
Системный аналитик,ФГБУ «Президентская библиотека имени Б.Н.Ельцина»,Санкт-Петербург,Более 6 лет,100000.0,100000.0,RUR,Требования: Высшее техническое образование в сфере IT; Умение анализировать и самостоятельно разбираться в новых предметных областях; Знание основ проектирования информационных...,Не указаны,https://hh.ru/vacancy/117105363
Product Analyst/Продуктовый аналитик,Топго Сервис,Санкт-Петербург,От 1 года до 3 лет,80000.0,140000.0,RUR,"Опыт в продуктовой <highlighttext>аналитике</highlighttext> от года (e-commerce, логистика, маркетплейсы). Продвинутый SQL (CTE, оконные функции, работа с временными рядами). ",Не указаны,https://hh.ru/vacancy/117356459
Аналитик 1С: Документооборот,"Авиационная и Морская Электроника, Научно-производственное предприятие",Санкт-Петербург,От 1 года до 3 лет,,180000.0,RUR,Общее понимание работы программных продуктов 1С. Опыт работы в любой СЭД. Умение описывать процессы в нотациях.,1С: Документооборот,https://hh.ru/vacancy/107700147
Аналитик по запасным частям,Деловые Линии,Санкт-Петербург,От 1 года до 3 лет,150000.0,150000.0,RUR,Высшее образование (техническое). Опыт аналогичной работы от 1 года. Знание программы 1С на уровне уверенного пользователя.,"Знание устройства автомобиля, Организация технического обслуживания автомобилей",https://hh.ru/vacancy/117144807
Ведущий консультант-аналитик 1С,"Северная, Птицефабрика",Санкт-Петербург,От 1 года до 3 лет,240000.0,,RUR,Высшее образование. Опыт работы от 2х лет.,"1С: Предприятие 8, Постановка задач разработчикам, 1С: Производство, Разработка инструкций",https://hh.ru/vacancy/107576249
Бизнес-аналитик Битрикс24,CRM LAB,Санкт-Петербург,От 1 года до 3 лет,60000.0,120000.0,RUR,Что нам важно видеть от тебя? Опыт работы по настройке битрикс24 от 6 месяцев. Высокий уровень самодисциплины и огромная...,Не указаны,https://hh.ru/vacancy/117805876
